surface,hd_R,lambda_norm
cell,2.7416,0.7092
cell,2.7492,0.7092
cell,2.7569,0.7092
cell,2.7645,0.7092
cell,2.7721,0.7102
cell,2.7797,0.7113
cell,2.7873,0.7113
cell,2.7950,0.7113
cell,2.8026,0.7124
cell,2.8102,0.7146
cell,2.8178,0.7146
cell,2.8255,0.7146
cell,2.8331,0.7135
cell,2.8407,0.7146
cell,2.8483,0.7157
cell,2.8559,0.7168
cell,2.8636,0.7168
cell,2.8712,0.7168
cell,2.8788,0.7190
cell,2.8864,0.7190
cell,2.8941,0.7200
cell,2.9017,0.7200
cell,2.9093,0.7200
cell,2.9169,0.7200
cell,2.9245,0.7200
cell,2.9322,0.7211
cell,2.9398,0.7222
cell,2.9474,0.7222
cell,2.9550,0.7222
cell,2.9627,0.7211
cell,2.9703,0.7222
cell,2.9779,0.7222
cell,2.9855,0.7233
cell,2.9931,0.7233
cell,3.0008,0.7244
cell,3.0084,0.7255
cell,3.0160,0.7266
cell,3.0236,0.7266
cell,3.0312,0.7277
cell,3.0389,0.7288
cell,3.0465,0.7288
cell,3.0541,0.7288
cell,3.0617,0.7288
cell,3.0694,0.7298
cell,3.0770,0.7288
cell,3.0846,0.7288
cell,3.0922,0.7298
cell,3.0998,0.7309
cell,3.1075,0.7320
cell,3.1151,0.7331
cell,3.1227,0.7331
cell,3.1303,0.7331
cell,3.1380,0.7331
cell,3.1456,0.7342
cell,3.1532,0.7342
cell,3.1608,0.7353
cell,3.1684,0.7342
cell,3.1761,0.7353
cell,3.1837,0.7364
cell,3.1913,0.7375
cell,3.1989,0.7375
cell,3.2066,0.7364
cell,3.2142,0.7364
cell,3.2218,0.7386
cell,3.2294,0.7386
cell,3.2370,0.7386
cell,3.2447,0.7386
cell,3.2523,0.7386
cell,3.2599,0.7397
cell,3.2675,0.7397
cell,3.2752,0.7407
cell,3.2828,0.7418
cell,3.2904,0.7429
cell,3.2980,0.7429
cell,3.3056,0.7440
cell,3.3133,0.7440
cell,3.3209,0.7440
cell,3.3285,0.7440
cell,3.3361,0.7440
cell,3.3438,0.7451
cell,3.3514,0.7440
cell,3.3590,0.7440
cell,3.3666,0.7451
cell,3.3742,0.7462
cell,3.3819,0.7473
cell,3.3895,0.7484
cell,3.3971,0.7495
cell,3.4047,0.7495
cell,3.4123,0.7495
cell,3.4200,0.7495
cell,3.4276,0.7495
cell,3.4352,0.7505
cell,3.4428,0.7505
cell,3.4505,0.7495
cell,3.4581,0.7495
cell,3.4657,0.7505
cell,3.4733,0.7516
cell,3.4809,0.7527
cell,3.4886,0.7527
cell,3.4962,0.7549
cell,3.5038,0.7560
cell,3.5114,0.7560
cell,3.5191,0.7549
cell,3.5267,0.7549
cell,3.5343,0.7560
cell,3.5419,0.7571
cell,3.5495,0.7582
cell,3.5572,0.7582
cell,3.5648,0.7571
cell,3.5724,0.7560
cell,3.5800,0.7549
cell,3.5877,0.7560
cell,3.5953,0.7582
cell,3.6029,0.7593
cell,3.6105,0.7582
cell,3.6181,0.7582
cell,3.6258,0.7582
cell,3.6334,0.7593
cell,3.6410,0.7593
cell,3.6486,0.7593
cell,3.6562,0.7582
cell,3.6639,0.7593
cell,3.6715,0.7614
cell,3.6791,0.7614
cell,3.6867,0.7603
cell,3.6944,0.7614
cell,3.7020,0.7625
cell,3.7096,0.7636
cell,3.7172,0.7636
cell,3.7248,0.7636
cell,3.7325,0.7636
cell,3.7401,0.7647
cell,3.7477,0.7658
cell,3.7553,0.7658
cell,3.7630,0.7680
cell,3.7706,0.7680
cell,3.7782,0.7680
cell,3.7858,0.7669
cell,3.7934,0.7658
cell,3.8011,0.7669
cell,3.8087,0.7669
cell,3.8163,0.7691
cell,3.8239,0.7691
cell,3.8316,0.7691
cell,3.8392,0.7680
cell,3.8468,0.7691
cell,3.8544,0.7702
cell,3.8620,0.7702
cell,3.8697,0.7702
cell,3.8773,0.7691
cell,3.8849,0.7691
cell,3.8925,0.7702
cell,3.9002,0.7702
cell,3.9078,0.7712
cell,3.9154,0.7723
cell,3.9230,0.7745
cell,3.9306,0.7756
cell,3.9383,0.7778
cell,3.9459,0.7767
cell,3.9535,0.7767
cell,3.9611,0.7767
cell,3.9688,0.7767
cell,3.9764,0.7767
cell,3.9840,0.7756
cell,3.9916,0.7767
cell,3.9992,0.7778
cell,4.0069,0.7778
cell,4.0145,0.7778
cell,4.0221,0.7778
cell,4.0297,0.7778
cell,4.0373,0.7778
cell,4.0450,0.7778
cell,4.0526,0.7789
cell,4.0602,0.7800
cell,4.0678,0.7810
cell,4.0755,0.7821
cell,4.0831,0.7810
cell,4.0907,0.7800
cell,4.0983,0.7800
cell,4.1059,0.7810
cell,4.1136,0.7821
cell,4.1212,0.7821
cell,4.1288,0.7832
cell,4.1364,0.7854
cell,4.1441,0.7865
cell,4.1517,0.7865
cell,4.1593,0.7865
cell,4.1669,0.7865
cell,4.1745,0.7843
cell,4.1822,0.7832
cell,4.1898,0.7821
cell,4.1974,0.7832
cell,4.2050,0.7843
cell,4.2127,0.7865
cell,4.2203,0.7865
cell,4.2279,0.7865
cell,4.2355,0.7865
cell,4.2431,0.7865
cell,4.2508,0.7876
cell,4.2584,0.7887
cell,4.2660,0.7898
cell,4.2736,0.7898
cell,4.2812,0.7898
cell,4.2889,0.7898
cell,4.2965,0.7898
cell,4.3041,0.7898
cell,4.3117,0.7898
cell,4.3194,0.7898
cell,4.3270,0.7919
cell,4.3346,0.7930
cell,4.3422,0.7930
cell,4.3498,0.7930
cell,4.3575,0.7919
cell,4.3651,0.7908
cell,4.3727,0.7919
cell,4.3803,0.7919
cell,4.3880,0.7930
cell,4.3956,0.7930
cell,4.4032,0.7941
cell,4.4108,0.7941
cell,4.4184,0.7941
cell,4.4261,0.7941
cell,4.4337,0.7952
cell,4.4413,0.7952
cell,4.4489,0.7963
cell,4.4566,0.7974
cell,4.4642,0.7996
cell,4.4718,0.7996
cell,4.4794,0.7985
cell,4.4870,0.7985
cell,4.4947,0.7985
cell,4.5023,0.7985
cell,4.5099,0.7985
cell,4.5175,0.7985
cell,4.5252,0.7996
cell,4.5328,0.8007
cell,4.5404,0.8007
cell,4.5480,0.7996
cell,4.5556,0.8007
cell,4.5633,0.8017
cell,4.5709,0.8028
cell,4.5785,0.8017
cell,4.5861,0.8007
cell,4.5938,0.8007
cell,4.6014,0.8028
cell,4.6090,0.8039
cell,4.6166,0.8050
cell,4.6242,0.8061
cell,4.6319,0.8072
cell,4.6395,0.8072
cell,4.6471,0.8061
cell,4.6547,0.8061
cell,4.6623,0.8083
cell,4.6700,0.8072
cell,4.6776,0.8072
cell,4.6852,0.8083
cell,4.6928,0.8083
cell,4.7005,0.8072
cell,4.7081,0.8072
cell,4.7157,0.8083
cell,4.7233,0.8094
cell,4.7309,0.8094
cell,4.7386,0.8105
cell,4.7462,0.8105
cell,4.7538,0.8105
cell,4.7614,0.8115
cell,4.7691,0.8126
cell,4.7767,0.8137
cell,4.7843,0.8126
cell,4.7919,0.8126
cell,4.7995,0.8115
cell,4.8072,0.8115
cell,4.8148,0.8115
cell,4.8224,0.8115
cell,4.8300,0.8126
cell,4.8377,0.8148
cell,4.8453,0.8170
cell,4.8529,0.8170
cell,4.8605,0.8181
cell,4.8681,0.8181
cell,4.8758,0.8181
cell,4.8834,0.8192
cell,4.8910,0.8192
cell,4.8986,0.8192
cell,4.9062,0.8170
cell,4.9139,0.8170
cell,4.9215,0.8170
cell,4.9291,0.8192
cell,4.9367,0.8203
cell,4.9444,0.8203
cell,4.9520,0.8214
cell,4.9596,0.8235
cell,4.9672,0.8235
cell,4.9748,0.8246
cell,4.9825,0.8235
cell,4.9901,0.8235
cell,4.9977,0.8246
cell,5.0053,0.8246
cell,5.0130,0.8257
cell,5.0206,0.8268
cell,5.0282,0.8268
cell,5.0358,0.8268
cell,5.0434,0.8279
cell,5.0511,0.8268
cell,5.0587,0.8257
cell,5.0663,0.8257
cell,5.0739,0.8268
cell,5.0816,0.8268
cell,5.0892,0.8279
cell,5.0968,0.8301
cell,5.1044,0.8312
cell,5.1120,0.8312
cell,5.1197,0.8322
cell,5.1273,0.8333
cell,5.1349,0.8333
cell,5.1425,0.8355
cell,5.1502,0.8344
cell,5.1578,0.8333
cell,5.1654,0.8333
cell,5.1730,0.8333
cell,5.1806,0.8344
cell,5.1883,0.8344
cell,5.1959,0.8344
cell,5.2035,0.8333
cell,5.2111,0.8333
cell,5.2188,0.8344
cell,5.2264,0.8344
cell,5.2340,0.8355
cell,5.2416,0.8366
cell,5.2492,0.8377
cell,5.2569,0.8377
cell,5.2645,0.8377
cell,5.2721,0.8377
cell,5.2797,0.8377
cell,5.2873,0.8377
cell,5.2950,0.8388
cell,5.3026,0.8388
cell,5.3102,0.8399
cell,5.3178,0.8399
cell,5.3255,0.8410
cell,5.3331,0.8420
cell,5.3407,0.8420
cell,5.3483,0.8420
cell,5.3559,0.8420
cell,5.3636,0.8442
cell,5.3712,0.8453
cell,5.3788,0.8464
cell,5.3864,0.8464
cell,5.3941,0.8475
cell,5.4017,0.8475
cell,5.4093,0.8475
cell,5.4169,0.8475
cell,5.4245,0.8486
cell,5.4322,0.8486
cell,5.4398,0.8497
cell,5.4474,0.8508
cell,5.4550,0.8508
cell,5.4627,0.8508
cell,5.4703,0.8508
cell,5.4779,0.8508
cell,5.4855,0.8508
cell,5.4931,0.8519
cell,5.5008,0.8529
cell,5.5084,0.8529
